,City,Country,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph),Date
217,beloha,MG,-25.1667,45.05,0.0,58.0,75.38,9.37,1652598342.0
218,atar,MR,20.5169,-13.0499,100.0,13.0,85.66,8.99,1652598343.0
219,zhob,PK,31.3411,69.4481,0.0,8.0,91.06,5.03,1652598343.0
220,laem sing,TH,12.4816,102.0738,88.0,100.0,91.02,8.77,1652598344.0
221,toliary,,,,,,,,
222,saleaula,,,,,,,,
223,corinto,GR,37.9407,22.9573,4.0,69.0,72.41,4.05,1652598345.0
224,gambiran,ID,-6.7988,111.4951,49.0,69.0,86.65,3.36,1652598345.0
225,sukhumi,GE,43.0033,41.0153,68.0,52.0,68.9,4.25,1652598346.0
226,popondetta,PG,-8.7537,148.2534,100.0,83.0,80.47,2.84,1652598346.0
227,port lincoln,AU,-34.7333,135.8667,68.0,70.0,62.08,19.55,1652598347.0
228,egvekinot,RU,66.3167,-179.1667,84.0,90.0,33.24,7.74,1652598348.0
229,surt,LY,31.2089,16.5887,0.0,40.0,71.65,7.4,1652598349.0
230,torres,BR,-29.3353,-49.7269,100.0,96.0,65.82,3.06,1652598114.0
231,ostrovnoy,RU,68.0531,39.5131,98.0,76.0,39.79,8.48,1652598350.0
232,maragogi,BR,-9.0122,-35.2225,40.0,86.0,76.21,5.79,1652598350.0
233,ketchikan,US,55.3422,-131.6461,100.0,87.0,46.38,3.44,1652598351.0
234,airai,TL,-8.9266,125.4092,100.0,85.0,67.64,1.28,1652598351.0
235,clyde river,CA,70.4692,-68.5914,0.0,73.0,11.71,3.65,1652598201.0
236,lebu,CL,-37.6167,-73.65,0.0,64.0,47.62,4.07,1652598352.0
237,constitucion,CL,-35.3333,-72.4167,0.0,59.0,50.4,4.65,1652598352.0
238,sioux lookout,CA,50.1001,-91.917,100.0,85.0,45.25,7.99,1652598353.0
239,kingaroy,AU,-26.5333,151.8333,52.0,81.0,70.83,1.16,1652598353.0
240,ahipara,NZ,-35.1667,173.1667,67.0,85.0,63.12,10.13,1652598354.0
241,osorno,CL,-40.5667,-73.15,28.0,99.0,38.62,1.5,1652598182.0
242,half moon bay,US,37.4636,-122.4286,100.0,82.0,61.88,11.5,1652598355.0
243,broome,US,42.2506,-75.833,100.0,93.0,64.65,3.44,1652598355.0
244,guntakal,IN,15.1667,77.3833,14.0,38.0,95.2,7.31,1652598356.0
245,pokanayevka,,,,,,,,
246,saldanha,ZA,-33.0117,17.9442,0.0,68.0,58.01,8.19,1652598356.0
247,vila do maio,CV,15.1333,-23.2167,81.0,86.0,77.79,15.48,1652598357.0
248,alice,US,27.7523,-98.0697,0.0,88.0,74.77,6.91,1652598357.0
249,harnosand,SE,62.6323,17.9379,6.0,53.0,50.02,17.85,1652598358.0
250,evanston,US,42.0411,-87.6901,20.0,67.0,69.98,8.05,1652598358.0
251,pacaembu,BR,-21.5622,-51.2606,100.0,97.0,63.1,6.46,1652598359.0
252,lavrentiya,RU,65.5833,-171.0,100.0,99.0,33.44,6.38,1652598359.0
253,banda aceh,ID,5.5577,95.3222,39.0,69.0,87.15,14.54,1652598360.0
254,phulabani,IN,20.4667,84.2333,94.0,20.0,107.06,6.44,1652598361.0
255,olafsvik,IS,64.8945,-23.7142,100.0,94.0,43.0,14.97,1652598361.0
256,attawapiskat,,,,,,,,
257,klaksvik,FO,62.2266,-6.589,85.0,87.0,47.32,6.4,1652598362.0
258,rajo khanani,PK,24.9841,68.8536,0.0,11.0,106.05,25.37,1652598362.0
259,fort nelson,CA,58.8053,-122.7002,10.0,95.0,36.18,2.48,1652598363.0
260,mocambique,,,,,,,,
261,tiksi,RU,71.6872,128.8694,64.0,84.0,22.55,8.1,1652598364.0
262,san vicente,AR,-26.6167,-54.1333,99.0,100.0,57.54,1.32,1652598312.0
263,lazaro cardenas,MX,17.9583,-102.2,100.0,82.0,78.66,3.38,1652598278.0
264,faya,SA,18.3851,42.4509,0.0,11.0,77.52,12.33,1652598364.0
265,umea,SE,63.8284,20.2597,0.0,57.0,49.93,20.71,1652598365.0
266,whitehorse,CA,60.7161,-135.0538,92.0,85.0,33.82,1.01,1652598158.0
267,guider,CM,9.9342,13.9486,92.0,44.0,85.82,4.79,1652598366.0
268,homa bay,KE,-0.5273,34.4571,24.0,67.0,72.82,3.13,1652598366.0
269,lasa,IT,46.6166,10.7002,12.0,72.0,59.68,2.17,1652598367.0
270,bowen,AU,-20.0167,148.2333,69.0,73.0,76.35,3.36,1652598355.0
271,cherskiy,RU,68.75,161.3,47.0,79.0,27.18,10.96,1652598367.0
272,jiuquan,CN,39.7432,98.5174,0.0,8.0,67.93,9.44,1652598368.0
273,nguiu,,,,,,,,
274,guilin,CN,25.2819,110.2864,100.0,90.0,59.47,8.03,1652598369.0
275,turukhansk,RU,65.8167,87.9833,8.0,37.0,70.54,9.71,1652598369.0
276,leshukonskoye,RU,64.8989,45.7622,2.0,66.0,56.17,8.25,1652598370.0
277,phan rang,,,,,,,,
278,sao filipe,CV,14.8961,-24.4956,53.0,69.0,75.76,7.96,1652598371.0
279,lorengau,PG,-2.0226,147.2712,100.0,67.0,83.82,6.91,1652598371.0
280,coquimbo,CL,-29.9533,-71.3436,0.0,86.0,56.59,1.86,1652598191.0
281,pangnirtung,CA,66.1451,-65.7125,7.0,84.0,9.19,7.27,1652598372.0
282,villa san giovanni,IT,38.2276,15.6386,0.0,62.0,73.63,13.8,1652598373.0
283,luwuk,ID,-0.9516,122.7875,96.0,83.0,82.83,2.24,1652598373.0
284,sao marcos,BR,-28.9711,-51.0681,98.0,100.0,56.34,1.77,1652598374.0
285,cururupu,BR,-1.8283,-44.8683,100.0,97.0,75.56,4.36,1652598374.0
286,lolua,,,,,,,,
287,klyuchi,RU,52.2667,79.1667,100.0,80.0,61.59,10.8,1652598375.0
288,bonito,BR,-21.1211,-56.4819,100.0,99.0,64.81,1.95,1652598375.0
289,katsuura,JP,35.1333,140.3,100.0,70.0,64.51,14.25,1652598376.0
290,angra,,,,,,,,
291,deniliquin,AU,-35.5333,144.9667,0.0,49.0,66.78,9.8,1652598377.0
292,sao joao da barra,BR,-21.6403,-41.0511,100.0,72.0,73.18,8.46,1652598377.0
293,leningradskiy,RU,69.3833,178.4167,100.0,93.0,31.03,22.28,1652598378.0
294,diamantino,BR,-14.4086,-56.4461,99.0,58.0,76.55,2.26,1652598378.0
295,okha,RU,53.5739,142.9478,100.0,99.0,32.83,14.12,1652598379.0
296,tsaratanana,MG,-16.7833,47.65,1.0,52.0,77.72,11.48,1652598379.0
297,astoria,US,46.1879,-123.8313,100.0,96.0,52.56,3.44,1652598380.0
298,kamenskoye,,,,,,,,
299,kloulklubed,PW,7.0419,134.2556,4.0,68.0,84.27,5.26,1652598380.0
300,grand gaube,MU,-20.0064,57.6608,8.0,64.0,81.37,7.0,1652598381.0
301,mehamn,NO,71.0357,27.8492,100.0,84.0,39.11,6.71,1652598381.0
302,luderitz,NA,-26.6481,15.1594,1.0,37.0,67.91,6.08,1652598382.0
303,safaqis,,,,,,,,
304,mokolo,CM,10.7398,13.8019,97.0,42.0,83.73,1.74,1652598383.0
305,seoul,KR,37.5683,126.9778,8.0,21.0,70.99,14.58,1652598353.0
306,margate,GB,51.3813,1.3862,100.0,83.0,61.3,3.0,1652598383.0
307,andenes,NO,69.3143,16.1194,75.0,87.0,42.78,5.75,1652598193.0
308,port hueneme,US,34.1478,-119.1951,0.0,62.0,75.18,3.44,1652598384.0
309,presidencia roque saenz pena,AR,-26.7852,-60.4388,0.0,94.0,51.55,5.61,1652598385.0
310,shitanjing,CN,39.2342,106.3439,99.0,7.0,62.65,11.81,1652598314.0
311,the valley,AI,18.217,-63.0578,19.0,78.0,77.09,19.46,1652598385.0
312,jibuti,DJ,11.5,42.5,100.0,17.0,94.32,10.16,1652598143.0
313,stephenville,US,32.2207,-98.2023,0.0,74.0,74.16,6.91,1652598203.0
314,lady frere,ZA,-31.7031,27.2329,0.0,76.0,53.49,1.34,1652598386.0
315,mayskiy,RU,47.6931,40.1025,20.0,53.0,62.01,13.35,1652598387.0
316,shenjiamen,CN,29.9576,122.298,100.0,66.0,60.78,8.88,1652598387.0
317,angoche,MZ,-16.2325,39.9086,2.0,64.0,76.96,7.56,1652598388.0
318,skibbereen,IE,51.55,-9.2667,7.0,85.0,54.1,8.5,1652598388.0
319,karkaralinsk,,,,,,,,
320,dhing,IN,26.4667,92.4667,82.0,76.0,82.87,5.84,1652598389.0
321,wattegama,LK,6.7989,81.4808,100.0,48.0,91.72,11.03,1652598390.0
322,oyem,GA,1.5995,11.5793,100.0,93.0,71.53,0.76,1652598390.0
323,ponta delgada,PT,37.7333,-25.6667,40.0,77.0,59.72,21.85,1652598391.0
324,shcholkine,,,,,,,,
325,hami,CN,42.8,93.45,4.0,4.0,80.64,5.08,1652598391.0
326,kidal,ML,18.4411,1.4078,0.0,9.0,86.13,8.3,1652598392.0
327,lagoa,PT,39.05,-27.9833,100.0,65.0,58.21,25.34,1652598392.0
328,san jose,US,37.3394,-121.895,0.0,76.0,62.58,5.75,1652598363.0
329,uray,RU,60.1247,64.7758,61.0,42.0,63.5,13.71,1652598393.0
330,baykit,RU,61.67,96.37,95.0,28.0,71.85,3.49,1652598394.0
331,muroto,JP,33.2833,134.15,100.0,61.0,64.02,3.49,1652598394.0
332,berlevag,NO,70.8578,29.0864,100.0,87.0,44.4,9.22,1652598395.0
333,langholm,GB,55.151,-2.9989,100.0,84.0,51.31,5.19,1652598395.0
334,brinkovskaya,RU,46.0347,38.5869,8.0,65.0,65.86,10.16,1652598396.0
335,arkhangelsk,RU,64.5401,40.5433,40.0,71.0,53.71,6.71,1652598111.0
336,zrenjanin,RS,45.3836,20.3819,7.0,50.0,66.99,5.23,1652598396.0
337,buqayq,,,,,,,,
338,havoysund,NO,70.9963,24.6622,100.0,94.0,41.23,3.02,1652598397.0
339,aras,ES,42.5617,-2.356,0.0,82.0,63.75,8.05,1652598398.0
340,opobo,,,,,,,,
